"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" acq_opt_time model_fit_time cum_iteration_time
1 3002121838.10486 3002121838.10486 3002121583.2848597 3002121583.2848597 None None None
2 188209.65517141513 188209.65517141513 187954.83517141512 187954.83517141512 None None None
3 177211368176.01947 188209.65517141513 177211367921.19946 187954.83517141512 0.03157966499999976 0.014684260000000116 0
4 73608693674.3371 188209.65517141513 73608693419.51709 187954.83517141512 0.02892378200000012 0.04265306899999999 2.886451599
5 20327109918.221554 188209.65517141513 20327109663.401554 187954.83517141512 0.08095079599999977 0.06284517599999973 2.958703245
6 6099814397.581217 188209.65517141513 6099814142.761217 187954.83517141512 0.09996108800000014 0.0616667190000002 3.103495514
7 2841389668.3765516 188209.65517141513 2841389413.5565515 187954.83517141512 0.10332945400000026 0.09932662599999986 3.266146597
8 40012313905.510635 188209.65517141513 40012313650.690636 187954.83517141512 0.0927085299999999 0.06836575600000039 3.469953507
9 757797546.98592 188209.65517141513 757797292.1659199 187954.83517141512 0.12787840600000022 0.111861357 3.631910168
10 11187583507.101023 188209.65517141513 11187583252.281023 187954.83517141512 0.10712159900000007 0.10376659099999985 3.872805084
11 1676076040.6590197 188209.65517141513 1676075785.8390198 187954.83517141512 0.10003200099999976 0.06474499999999939 4.08521935
12 324731992.85911125 188209.65517141513 324731738.03911126 187954.83517141512 0.09951033599999981 0.062028126000000405 4.251098843
13 108573833.11735405 188209.65517141513 108573578.29735406 187954.83517141512 0.10396185000000013 0.06360429999999972 4.413607224
14 8411701678.279094 188209.65517141513 8411701423.459094 187954.83517141512 0.32607696899999983 0.06393460900000036 4.582193108
15 1729140919.6995742 188209.65517141513 1729140664.8795743 187954.83517141512 0.17536776999999937 0.27930528700000057 4.973978464
16 61666280.29017246 188209.65517141513 61666025.47017246 187954.83517141512 0.029426234999999856 0.12721650900000014 5.429882611
17 359022776.3295176 188209.65517141513 359022521.5095176 187954.83517141512 0.029032339999999657 0.05761578799999967 5.587806115
18 294047319.3693499 188209.65517141513 294047064.5493499 187954.83517141512 0.15461877899999976 0.0951626679999995 5.675571152
19 66481283.526825935 188209.65517141513 66481028.706825934 187954.83517141512 0.28003580700000086 0.3890623619999998 5.929224825
20 45368245.14464552 188209.65517141513 45367990.32464552 187954.83517141512 0.18613618100000018 0.20205855000000028 6.612784606
21 284807581.39514124 188209.65517141513 284807326.57514125 187954.83517141512 0.23706102999999956 0.3968392730000003 7.005363668
22 348783.35613637295 188209.65517141513 348528.53613637295 187954.83517141512 0.0959615730000003 0.2501710429999999 7.642527171
23 29215183.559295636 188209.65517141513 29214928.739295635 187954.83517141512 0.1309307430000004 0.08631580299999975 7.989849994
24 1933136.013388187 188209.65517141513 1932881.1933881869 187954.83517141512 0.10516465500000116 0.36968295399999995 8.207901327
25 5062547.64224769 188209.65517141513 5062292.82224769 187954.83517141512 0.28093896200000046 0.23044705000000043 8.683840892
26 22135921.367783558 188209.65517141513 22135666.547783557 187954.83517141512 0.12278961600000038 0.333271293000001 9.199684593
27 15183722708.797913 188209.65517141513 15183722453.977913 187954.83517141512 0.2111336769999994 0.8744959039999998 9.657380793
28 3013509163.692831 188209.65517141513 3013508908.872831 187954.83517141512 0.06439583199999888 0.21795312199999906 10.746164481
29 1087181.488500726 188209.65517141513 1086926.6685007259 187954.83517141512 0.0603340879999994 0.11990447300000007 11.029877923
30 884621.815440645 188209.65517141513 884366.995440645 187954.83517141512 0.06126688300000005 0.11750714600000123 11.211281125
31 9440223.38017085 188209.65517141513 9439968.56017085 187954.83517141512 0.08629406699999898 0.13210296800000165 11.391233104
32 428400.461255885 188209.65517141513 428145.641255885 187954.83517141512 0.18852966700000096 0.13326961100000112 11.611238696
33 1141075034.496062 188209.65517141513 1141074779.676062 187954.83517141512 0.27605386299999957 0.1582099449999994 11.934500037
34 65054820.021012895 188209.65517141513 65054565.201012895 187954.83517141512 0.13627061400000073 0.5453049459999999 12.370047934
35 1535616.687223664 188209.65517141513 1535361.867223664 187954.83517141512 0.09107506500000007 0.31185410800000035 13.052952484
36 1330846222.3758774 188209.65517141513 1330845967.5558774 187954.83517141512 0.09309434800000105 0.18257446799999855 13.457325566
37 746046631.4669693 188209.65517141513 746046376.6469692 187954.83517141512 0.09544797499999902 0.18447241299999995 13.734442977
38 4393885.036457969 188209.65517141513 4393630.216457969 187954.83517141512 0.13304256899999878 0.1829859410000001 14.015576685
39 172431053.65057608 188209.65517141513 172430798.8305761 187954.83517141512 0.09778222300000117 0.19239504800000162 14.333480795
40 688604120.1145926 188209.65517141513 688603865.2945925 187954.83517141512 0.2798381139999986 0.19134142000000054 14.624892529
41 40292870.42863701 188209.65517141513 40292615.60863701 187954.83517141512 0.16199949700000005 0.31999557800000034 15.097813456
42 13194101.343592444 188209.65517141513 13193846.523592444 187954.83517141512 0.06949861999999918 0.2650053769999996 15.580832774
43 3369128.0232739523 188209.65517141513 3368873.2032739525 187954.83517141512 0.0702220469999979 0.1398170419999989 15.916475844
44 10915671.236282336 188209.65517141513 10915416.416282335 187954.83517141512 0.07570503899999892 0.639744903999997 16.127433809
45 115276711.98147608 188209.65517141513 115276457.16147609 187954.83517141512 0.06586113699999885 0.12481243900000294 16.843756398
46 5.118988970104198 5.118988970104198 -249.7010110298958 -249.7010110298958 0.06046035399999994 0.12383027399999946 17.035788382
47 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.06279793399999889 0.12285138200000034 17.221162541
48 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.05296217999999797 3.4033825669999977 17.407907169
49 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.11739637899999877 0.12186538200000285 20.866809782
50 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.09998913500000128 0.25937316299999935 21.108673601
51 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.11067860600000046 0.19592435300000233 21.469235541
52 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.06484355899999983 0.18181607 21.777523325
53 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.06288914299999959 0.12367611799999878 22.025396827
54 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.061773914999999846 0.12186813699999988 22.213006422
55 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.06186781799999963 0.12411382399999837 22.3977261
56 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.06150905499999837 0.12264737000000281 22.584760039
57 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.06501073200000107 0.12933008399999935 22.770064406
58 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.0953022489999995 0.14003093700000235 22.965603129
59 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.06617128899999969 0.13241588300000018 23.202295695
60 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.06615137000000004 0.1314208710000031 23.402130261
61 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.0662801789999996 0.13029894299999967 23.600781053
62 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.06538845900000112 0.1314891039999999 23.79844064
63 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.0675113809999992 0.13005836399999993 23.996556823
64 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.27491848700000077 0.23658345700000183 24.195403845
65 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.12289783700000001 1.2104809289999992 24.708460113
66 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.06957381799999851 4.407247769999998 26.042780111
67 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.04456315200000205 3.361445192000005 30.520652127
68 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.02661010599999969 2.4695197550000003 33.927706344
69 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.1039285370000016 3.207533216999998 36.42452244
70 177211368176.01947 5.118988970104198 177211367921.19946 -249.7010110298958 0.046535145 2.475751331000005 39.737397053
