"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" acq_opt_time model_fit_time cum_iteration_time
1 983.0836856016249 983.0836856016249 1053.1136856016249 1053.1136856016249 None None None
2 864.7601328870144 864.7601328870144 934.7901328870144 934.7901328870144 None None None
3 1116.5439336534296 864.7601328870144 1186.5739336534295 934.7901328870144 None None None
4 294.7223975727368 294.7223975727368 364.75239757273675 364.75239757273675 None None None
5 2723.236112848089 294.7223975727368 2793.266112848089 364.75239757273675 None None None
6 1049.4098064250625 294.7223975727368 1119.4398064250624 364.75239757273675 None None None
7 440.7756110356705 294.7223975727368 510.8056110356705 364.75239757273675 None None None
8 951.6192835897577 294.7223975727368 1021.6492835897577 364.75239757273675 None None None
9 309.98395524455145 294.7223975727368 380.0139552445514 364.75239757273675 None None None
10 1747.9236561877913 294.7223975727368 1817.9536561877912 364.75239757273675 None None None
11 730.9926648188857 294.7223975727368 801.0226648188857 364.75239757273675 0.4248442560000001 0.3187923259999996 0
12 517.3181645723478 294.7223975727368 587.3481645723477 364.75239757273675 0.5217476200000002 0.30282761299999983 7.010468972
13 877.7175011543054 294.7223975727368 947.7475011543054 364.75239757273675 0.19173556199999986 0.26233163699999906 7.83605048
14 747.36120696257 294.7223975727368 817.39120696257 364.75239757273675 0.9341512630000004 0.4711049410000001 8.291683337
15 493.7689034501233 294.7223975727368 563.7989034501232 364.75239757273675 0.6555192390000002 0.30101191900000046 9.698069739
16 332.2973898435449 294.7223975727368 402.3273898435449 364.75239757273675 0.5120050660000004 0.27349155599999975 10.655778604
17 790.43461521975 294.7223975727368 860.4646152197499 364.75239757273675 0.46006773000000045 0.5602559249999999 11.44243693
18 547.9742861308827 294.7223975727368 618.0042861308826 364.75239757273675 0.31171087500000105 0.5197744649999994 12.463987306
19 2090.3253400502595 294.7223975727368 2160.3553400502597 364.75239757273675 0.9558714330000004 0.7614342870000002 13.297066186
20 641.3237881033622 294.7223975727368 711.3537881033621 364.75239757273675 0.4409908530000024 0.841897071 15.015647983
21 4345.3065852990385 294.7223975727368 4415.336585299038 364.75239757273675 0.29108983899999785 0.7132735649999979 16.300152043
22 2094.4476356548184 294.7223975727368 2164.4776356548186 364.75239757273675 0.7904122789999981 0.5328752219999977 17.305971231
23 1756.477291004255 294.7223975727368 1826.507291004255 364.75239757273675 0.9389026549999997 0.40676008199999814 18.630236588
24 1199.5552196539604 294.7223975727368 1269.5852196539604 364.75239757273675 0.3378384959999998 0.674316074 19.977247883
25 555.0474695227432 294.7223975727368 625.0774695227432 364.75239757273675 0.26354978699999876 0.599734282 20.991167483
26 827.8312425365318 294.7223975727368 897.8612425365318 364.75239757273675 0.2790718840000004 0.6755897699999984 21.855873422
27 437.4712245558154 294.7223975727368 507.5012245558154 364.75239757273675 0.38539628500000234 0.9993551710000013 22.812009371
28 799.8340813601155 294.7223975727368 869.8640813601155 364.75239757273675 0.286272683 1.070054969000001 24.198349205
29 327.0855138464175 294.7223975727368 397.11551384641746 364.75239757273675 0.19324481700000007 0.255334665000003 25.555924734
30 1567.961837598113 294.7223975727368 1637.991837598113 364.75239757273675 0.19813438699999963 0.25649109800000147 26.005804114
31 753.916347263381 294.7223975727368 823.946347263381 364.75239757273675 0.5088379689999982 0.26893941600000204 26.461769163
32 2057.19782775167 294.7223975727368 2127.2278277516702 364.75239757273675 0.37636174900000086 1.1832952650000017 27.240986254
33 503.2147523449448 294.7223975727368 573.2447523449448 364.75239757273675 0.6882805409999975 0.6007507590000003 28.802559544
34 441.1231160229373 294.7223975727368 511.1531160229373 364.75239757273675 0.21279973999999768 1.0785606990000005 30.093225701
35 581.9568567404884 294.7223975727368 651.9868567404884 364.75239757273675 0.445089240999998 0.5119492000000001 31.386351655
36 718.5331368558535 294.7223975727368 788.5631368558535 364.75239757273675 0.2984469470000022 0.9781868569999972 32.344958019
