"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" acq_opt_time model_fit_time cum_iteration_time
1 103.5066778058358 103.5066778058358 497.9866778058358 497.9866778058358 None None None
2 158.1831655316139 103.5066778058358 552.6631655316139 497.9866778058358 None None None
3 176.53587252679426 103.5066778058358 571.0158725267943 497.9866778058358 None None None
4 118.94031701127699 103.5066778058358 513.420317011277 497.9866778058358 None None None
5 234.5182279161911 103.5066778058358 628.9982279161911 497.9866778058358 None None None
6 109.43977127009413 103.5066778058358 503.91977127009415 497.9866778058358 None None None
7 176.6392934537796 103.5066778058358 571.1192934537796 497.9866778058358 None None None
8 114.31856988276928 103.5066778058358 508.7985698827693 497.9866778058358 None None None
9 210.4776416362938 103.5066778058358 604.9576416362938 497.9866778058358 None None None
10 54.54114292001981 54.54114292001981 449.0211429200198 449.0211429200198 None None None
11 234.16435268534565 54.54114292001981 628.6443526853457 449.0211429200198 0.41452672899999987 0.1704586899999998 0
12 99.53839025122113 54.54114292001981 494.01839025122115 449.0211429200198 0.3361181270000002 0.3303589709999999 3.525912169
13 179.21859060255667 54.54114292001981 573.6985906025567 449.0211429200198 0.3659597330000004 0.5265935490000002 4.19364576
14 109.46593009176888 54.54114292001981 503.9459300917689 449.0211429200198 0.31832040199999945 0.7681586030000007 5.087690937
15 243.83284185250045 54.54114292001981 638.3128418525005 449.0211429200198 0.7713471460000001 0.690314936 6.176982905
16 243.85925723919468 54.54114292001981 638.3392572391947 449.0211429200198 0.6292029020000012 0.5014445809999994 7.64004032
17 168.43257699956575 54.54114292001981 562.9125769995658 449.0211429200198 0.819751697000001 0.5322674679999988 8.773011957
18 220.07913706442775 54.54114292001981 614.5591370644278 449.0211429200198 0.40975915200000124 0.7003150730000005 10.127713389
19 232.44463267273363 54.54114292001981 626.9246326727337 449.0211429200198 0.8673876739999997 0.41347513400000047 11.242301964
20 260.72337254931585 54.54114292001981 655.2033725493159 449.0211429200198 1.210482098 0.5959351860000002 12.524578588
21 221.5984250244295 54.54114292001981 616.0784250244295 449.0211429200198 0.6619537850000015 0.7495786310000003 14.332524503
22 186.2241366590406 54.54114292001981 580.7041366590406 449.0211429200198 0.7450823419999999 0.5746044929999989 15.747873362
23 181.63594477579204 54.54114292001981 576.1159447757921 449.0211429200198 0.21593505399999913 0.28251352899999915 17.06868979
24 282.3741515232359 54.54114292001981 676.8541515232359 449.0211429200198 0.35569057100000023 0.26423585700000274 17.568545947
