"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" acq_opt_time model_fit_time cum_iteration_time
1 2095609696.2189102 2095609696.2189102 2095609075.1089103 2095609075.1089103 None None None
2 3121187428.174591 2095609696.2189102 3121186807.064591 2095609075.1089103 None None None
3 4949309720.675103 2095609696.2189102 4949309099.565104 2095609075.1089103 None None None
4 107937587.02336848 107937587.02336848 107936965.91336848 107936965.91336848 None None None
5 105860340.99452151 105860340.99452151 105859719.88452151 105859719.88452151 None None None
6 1133723240.9779277 105860340.99452151 1133722619.8679278 105859719.88452151 None None None
7 384112166.3193271 105860340.99452151 384111545.2093271 105859719.88452151 None None None
8 982449020.8211575 105860340.99452151 982448399.7111574 105859719.88452151 None None None
9 223010346.35926622 105860340.99452151 223009725.2492662 105859719.88452151 None None None
10 399038954.50550985 105860340.99452151 399038333.39550984 105859719.88452151 None None None
11 9695502200.977345 105860340.99452151 9695501579.867344 105859719.88452151 0.46298664600000006 0.11961020399999978 0
12 8489231855.3345375 105860340.99452151 8489231234.224538 105859719.88452151 0.4516093620000001 0.3170836720000003 3.684575993
13 4838249508.0450325 105860340.99452151 4838248886.935033 105859719.88452151 0.34313939599999976 0.49470985700000014 4.478428678
14 14301080482.730263 105860340.99452151 14301079861.620262 105859719.88452151 0.31671506699999963 0.2934943919999995 5.317727823
15 7086234120.8847885 105860340.99452151 7086233499.774789 105859719.88452151 0.30528682800000073 0.28821236100000025 6.141283614
16 10001838432.182003 105860340.99452151 10001837811.072002 105859719.88452151 0.30472486300000057 0.258566117 6.953339907
17 8053632937.457991 105860340.99452151 8053632316.347991 105859719.88452151 0.6232481300000003 0.31015240799999955 7.73415295
18 328547704.55047935 105860340.99452151 328547083.44047934 105859719.88452151 0.3163676999999989 0.49325331100000014 8.668961688
19 8345444980.01037 105860340.99452151 8345444358.900371 105859719.88452151 0.3120906659999996 0.5262707960000004 9.480090542
20 7494250659.610035 105860340.99452151 7494250038.500035 105859719.88452151 0.2082941070000004 0.2778602610000007 10.319859913
21 1494871159.0856748 105860340.99452151 1494870537.9756749 105859719.88452151 0.233954709999999 0.2983944170000008 10.807455226
22 7321700564.671581 105860340.99452151 7321699943.561582 105859719.88452151 0.2504801180000005 0.2715262479999989 11.341332362
23 4026945950.9673147 105860340.99452151 4026945329.8573146 105859719.88452151 0.2026473529999997 0.2616052040000003 11.864927764
24 1133735922.6825347 105860340.99452151 1133735301.5725348 105859719.88452151 0.30115924899999946 0.2922318360000009 12.330598505
25 4846097963.11886 105860340.99452151 4846097342.008861 105859719.88452151 0.3075897439999995 0.2876729530000013 12.925347388
26 5405761839.802948 105860340.99452151 5405761218.692948 105859719.88452151 0.2122860590000002 0.29460633100000067 13.522245808
27 787922722.8189503 105860340.99452151 787922101.7089503 105859719.88452151 0.2098494199999994 0.2706542780000003 14.030683555
28 673045820.4900615 105860340.99452151 673045199.3800615 105859719.88452151 0.3031973610000005 0.3098828670000007 14.512479602
