"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" acq_opt_time model_fit_time cum_iteration_time
1 2727.9758236026673 2727.9758236026673 2683.2058236026674 2683.2058236026674 None None None
2 695.8638130257689 695.8638130257689 651.0938130257689 651.0938130257689 None None None
3 1650.3986679564964 695.8638130257689 1605.6286679564964 651.0938130257689 None None None
4 792.1542242529893 695.8638130257689 747.3842242529893 651.0938130257689 None None None
5 1729.4404991464314 695.8638130257689 1684.6704991464314 651.0938130257689 None None None
6 2015.1549576092264 695.8638130257689 1970.3849576092264 651.0938130257689 None None None
7 543.3335252060676 543.3335252060676 498.56352520606765 498.56352520606765 None None None
8 507.4246481185786 507.4246481185786 462.6546481185786 462.6546481185786 None None None
9 932.9368205254136 507.4246481185786 888.1668205254136 462.6546481185786 None None None
10 1285.8290753100987 507.4246481185786 1241.0590753100987 462.6546481185786 None None None
11 14541.990075800546 507.4246481185786 14497.220075800546 462.6546481185786 0.16348115499999993 0.165828195 0
12 5127.331420566976 507.4246481185786 5082.561420566975 462.6546481185786 0.3037903799999997 0.22116070499999996 3.696867845
13 8851.020177605911 507.4246481185786 8806.25017760591 462.6546481185786 0.19090609000000036 0.23357928099999992 4.222985746
14 8694.1007877872 507.4246481185786 8649.3307877872 462.6546481185786 0.28048588399999996 0.2613925799999999 4.648751895
15 5008.32576403065 507.4246481185786 4963.55576403065 462.6546481185786 0.1864936909999999 0.23728374000000052 5.191982258
16 8312.03676944611 507.4246481185786 8267.266769446109 462.6546481185786 0.4310754750000001 0.24604080299999964 5.617107237
17 5125.303503454106 507.4246481185786 5080.533503454106 462.6546481185786 0.43979691399999954 0.5132223009999999 6.29555981
18 3066.5429609749667 507.4246481185786 3021.7729609749667 462.6546481185786 0.34145996300000014 0.4815990870000002 7.250164859
19 3563.6664792096517 507.4246481185786 3518.8964792096517 462.6546481185786 0.291383798 0.5669001429999998 8.074842348
20 4927.141287870385 507.4246481185786 4882.371287870385 462.6546481185786 0.3072391519999993 0.5341468809999999 8.934626065
21 3880.0757826989425 507.4246481185786 3835.3057826989425 462.6546481185786 0.3065418209999997 0.5221791880000008 9.777337139
22 4757.525899161796 507.4246481185786 4712.755899161795 462.6546481185786 0.3524597279999995 0.5034056030000009 10.607398019
23 5105.820367883113 507.4246481185786 5061.050367883113 462.6546481185786 0.21909030200000146 0.5030902080000015 11.464816567
24 3171.2812425031807 507.4246481185786 3126.5112425031807 462.6546481185786 0.3127504139999999 0.2952798380000008 12.188361318
25 3713.402980334598 507.4246481185786 3668.632980334598 462.6546481185786 0.29305531600000023 0.2967601000000002 12.797756218
26 5587.376701079877 507.4246481185786 5542.606701079877 462.6546481185786 0.20479318800000001 0.26249195000000114 13.388906342
27 2310.894376123344 507.4246481185786 2266.124376123344 462.6546481185786 0.20334814200000118 0.2643761910000002 13.857780569
28 5480.931880067607 507.4246481185786 5436.161880067607 462.6546481185786 0.2975825660000009 0.31541358399999986 14.326809697
29 3122.8550974524633 507.4246481185786 3078.0850974524633 462.6546481185786 0.20419495199999993 0.2634493760000005 14.941241481
30 3313.684222493034 507.4246481185786 3268.9142224930342 462.6546481185786 0.4238230050000009 0.2943648139999997 15.410306478
31 3985.1718202157 507.4246481185786 3940.4018202157 462.6546481185786 0.31699484499999997 0.32912504200000114 16.129906186
32 4013.874849097522 507.4246481185786 3969.104849097522 462.6546481185786 0.5384270300000011 1.103714956000001 16.777540883
33 3160.2193432189792 507.4246481185786 3115.4493432189793 462.6546481185786 0.24853103099999885 0.3243442299999977 18.421097882
34 2923.596683259391 507.4246481185786 2878.826683259391 462.6546481185786 0.21285619200000028 0.295882627000001 18.995625945
35 2844.1882874691414 507.4246481185786 2799.4182874691414 462.6546481185786 0.4526420150000021 0.3995508220000019 19.505775872
36 2528.2787192567607 507.4246481185786 2483.5087192567607 462.6546481185786 0.26705539599999994 0.4812346749999996 20.359400901
37 3559.1759416241953 507.4246481185786 3514.4059416241953 462.6546481185786 0.26831648900000005 0.314239409999999 21.109297804
38 3878.4698765075104 507.4246481185786 3833.6998765075105 462.6546481185786 0.506826556 0.35414962999999844 21.693246774
39 2783.364255589453 507.4246481185786 2738.594255589453 462.6546481185786 0.20533295499999937 0.5000788999999983 22.55585083
40 3114.6124904170065 507.4246481185786 3069.8424904170065 462.6546481185786 0.31956586200000103 0.34190311400000084 23.26286337
41 3369.9137424210926 507.4246481185786 3325.1437424210926 462.6546481185786 0.21915243799999828 0.2798065970000003 23.925939454
42 3836.3818754193476 507.4246481185786 3791.6118754193476 462.6546481185786 0.29982830800000215 0.3057364309999997 24.426418306
43 4352.063739603854 507.4246481185786 4307.293739603853 462.6546481185786 0.21060947099999794 0.2752224769999998 25.033287102
44 5618.637534439453 507.4246481185786 5573.867534439452 462.6546481185786 0.21101755599999805 0.2795083170000012 25.520572605
45 2510.3907668980237 507.4246481185786 2465.6207668980237 462.6546481185786 0.3043285410000003 0.3021479520000021 26.012426345
46 3192.8904990416986 507.4246481185786 3148.1204990416986 462.6546481185786 0.3112696019999994 0.3047396150000026 26.620397878
47 3321.757566756073 507.4246481185786 3276.987566756073 462.6546481185786 0.23602225900000207 0.7121527929999978 27.237777881
48 2386.374747774411 507.4246481185786 2341.604747774411 462.6546481185786 0.3023766919999993 0.6285623640000004 28.190035401
49 5422.803469182341 507.4246481185786 5378.033469182341 462.6546481185786 0.3040164689999969 0.3635459340000011 29.122373207
50 3082.574878306689 507.4246481185786 3037.804878306689 462.6546481185786 0.22184116300000056 0.290590550000001 29.79135985
51 3503.1058227650688 507.4246481185786 3458.3358227650688 462.6546481185786 0.225003988000001 0.2834489409999996 30.305191469
52 3120.8877903742255 507.4246481185786 3076.1177903742255 462.6546481185786 0.6416553440000001 0.3677756609999996 30.815000939
53 3566.16112382055 507.4246481185786 3521.39112382055 462.6546481185786 0.3138577650000016 0.33950487300000276 31.826245085
54 3628.835465361795 507.4246481185786 3584.065465361795 462.6546481185786 0.21328429800000492 0.2736694660000012 32.481231118
55 2915.3452723270857 507.4246481185786 2870.5752723270857 462.6546481185786 0.3084934070000003 0.3110005429999987 32.969485576
56 2817.0749919071145 507.4246481185786 2772.3049919071145 462.6546481185786 0.21248189500000336 0.2775946229999988 33.590346839
57 2933.5867575576185 507.4246481185786 2888.8167575576185 462.6546481185786 0.21916374799999971 0.2798428469999976 34.082188783
58 3646.284200194687 507.4246481185786 3601.514200194687 462.6546481185786 0.2820782659999992 0.3594982170000023 34.582551299
59 3648.9268319977023 507.4246481185786 3604.1568319977023 462.6546481185786 0.21854946199999858 0.3180854710000034 35.225551718
60 2903.7722429101964 507.4246481185786 2859.0022429101964 462.6546481185786 0.31287757700000185 0.31231115099999585 35.763733094
61 3862.763309148518 507.4246481185786 3817.993309148518 462.6546481185786 0.24528309599999432 0.34418684100000263 36.390324955
62 5912.530296278619 507.4246481185786 5867.760296278619 462.6546481185786 0.21825868199999832 0.2867892180000027 36.981411615
63 3228.9037210924694 507.4246481185786 3184.1337210924694 462.6546481185786 0.21379107799999986 0.3092317450000053 37.487822999
64 5793.75568769868 507.4246481185786 5748.98568769868 462.6546481185786 0.2280902270000027 0.276840061999998 38.012307071
65 3628.5669469117097 507.4246481185786 3583.7969469117097 462.6546481185786 0.27148498300000057 0.44445572299999725 38.518972198
66 4067.6680222167447 507.4246481185786 4022.8980222167447 462.6546481185786 0.21640504599999844 0.3192925060000036 39.236220848
67 2850.1520179286435 507.4246481185786 2805.3820179286436 462.6546481185786 0.22614102400000036 0.2829365079999988 39.7733414
68 3590.318229105186 507.4246481185786 3545.5482291051862 462.6546481185786 0.22048757900000027 0.2812669959999994 40.283856489
69 2612.313122009371 507.4246481185786 2567.543122009371 462.6546481185786 0.21848839799999809 0.28179614799999797 40.78708469
70 3812.589991125343 507.4246481185786 3767.819991125343 462.6546481185786 0.3154402949999948 0.31350745399999624 41.288859108
71 3328.588928911632 507.4246481185786 3283.818928911632 462.6546481185786 0.3168601019999997 0.3302528190000018 41.919157688
72 3702.0092871136485 507.4246481185786 3657.2392871136485 462.6546481185786 0.2254642719999964 0.4404193649999968 42.567650173
73 3444.809644268785 507.4246481185786 3400.039644268785 462.6546481185786 0.22158363200000508 0.30717271700000026 43.234998872
74 4030.951449980789 507.4246481185786 3986.1814499807892 462.6546481185786 0.2214224710000039 0.2903990439999973 43.765435695
75 2598.118857015481 507.4246481185786 2553.348857015481 462.6546481185786 0.22803155700000133 0.29891798100000244 44.278744443
76 4209.092296929247 507.4246481185786 4164.3222969292465 462.6546481185786 0.23613284099999987 0.31757308199999557 44.807138917
77 3427.3470882711936 507.4246481185786 3382.5770882711936 462.6546481185786 0.32214083000000215 0.334839058 45.362331472
78 4197.7266712952605 507.4246481185786 4152.95667129526 462.6546481185786 0.22369405799999953 0.29379902800000224 46.020749398
79 3371.4664222190295 507.4246481185786 3326.6964222190295 462.6546481185786 0.23883223800000053 0.7863997039999973 46.539776387
80 3717.6409967283967 507.4246481185786 3672.8709967283967 462.6546481185786 0.23231996100000174 0.386835130999998 47.56650784
81 4155.628036817073 507.4246481185786 4110.858036817072 462.6546481185786 0.3254814579999987 0.3455536789999982 48.187134598
82 3589.6075619068147 507.4246481185786 3544.8375619068147 462.6546481185786 0.34382604500000014 0.34872443799999786 48.859803712
83 3390.106548411958 507.4246481185786 3345.336548411958 462.6546481185786 0.3243308930000026 0.3507928809999967 49.553807682
