"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" acq_opt_time model_fit_time cum_iteration_time
1 84.776671503209 84.776671503209 395.396671503209 395.396671503209 None None None
2 85.89795000813132 84.776671503209 396.5179500081313 395.396671503209 None None None
3 63.88104806361332 63.88104806361332 374.5010480636133 374.5010480636133 None None None
4 82.05803388241429 63.88104806361332 392.6780338824143 374.5010480636133 None None None
5 83.08897093391477 63.88104806361332 393.70897093391477 374.5010480636133 None None None
6 70.73565754527709 63.88104806361332 381.3556575452771 374.5010480636133 None None None
7 81.96137746526205 63.88104806361332 392.58137746526205 374.5010480636133 None None None
8 80.83762273469 63.88104806361332 391.45762273469 374.5010480636133 None None None
9 78.45229356960033 63.88104806361332 389.07229356960033 374.5010480636133 None None None
10 80.00612631746287 63.88104806361332 390.6261263174629 374.5010480636133 None None None
