"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" acq_opt_time model_fit_time cum_iteration_time
1 421241.8382961423 421241.8382961423 420241.8382961423 420241.8382961423 None None None
2 769543.5743580578 421241.8382961423 768543.5743580578 420241.8382961423 None None None
3 211602.4547100364 211602.4547100364 210602.4547100364 210602.4547100364 None None None
4 210909.2226563381 210909.2226563381 209909.2226563381 209909.2226563381 None None None
5 205099.9573341395 205099.9573341395 204099.9573341395 204099.9573341395 None None None
6 460749.4861929493 205099.9573341395 459749.4861929493 204099.9573341395 None None None
7 382283.0945909863 205099.9573341395 381283.0945909863 204099.9573341395 None None None
8 385444.52960058936 205099.9573341395 384444.52960058936 204099.9573341395 None None None
9 454049.9880291915 205099.9573341395 453049.9880291915 204099.9573341395 None None None
10 331602.34430386673 205099.9573341395 330602.34430386673 204099.9573341395 None None None
