"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" acq_opt_time model_fit_time cum_iteration_time
1 329944863.56809217 329944863.56809217 329945158.7480922 329945158.7480922 None None None
2 264380481.19069877 264380481.19069877 264380776.37069878 264380776.37069878 None None None
3 91741223.50370653 91741223.50370653 91741518.68370654 91741518.68370654 None None None
4 296550394.4705969 91741223.50370653 296550689.6505969 91741518.68370654 None None None
5 661186728.3608922 91741223.50370653 661187023.5408921 91741518.68370654 None None None
6 1065359793.4488494 91741223.50370653 1065360088.6288494 91741518.68370654 None None None
7 287324998.3493876 91741223.50370653 287325293.5293876 91741518.68370654 None None None
8 1876177972.9366796 91741223.50370653 1876178268.1166797 91741518.68370654 None None None
9 240739077.0752499 91741223.50370653 240739372.25524992 91741518.68370654 None None None
10 3937984130.887301 91741223.50370653 3937984426.067301 91741518.68370654 None None None
11 951975559.4653404 91741223.50370653 951975854.6453403 91741518.68370654 0.18434445000000022 0.2569384979999998 0
12 914860951.8133887 91741223.50370653 914861246.9933887 91741518.68370654 0.19030289699999958 0.31236838700000025 4.414460072
13 262482065.76871255 91741223.50370653 262482360.94871256 91741518.68370654 0.22338884000000014 0.35808521399999993 4.918777115
14 224544282.03284967 91741223.50370653 224544577.21284968 91741518.68370654 0.5384594219999999 0.5737981439999995 5.503876079
15 1576352049.6456823 91741223.50370653 1576352344.8256824 91741518.68370654 0.2840172359999995 0.5800196929999997 6.651080066
16 5893689185.093681 91741223.50370653 5893689480.273682 91741518.68370654 0.2787087810000006 0.45188137599999934 7.88419183
17 488438455.76343536 91741223.50370653 488438750.9434354 91741518.68370654 0.517856140000001 0.6864595500000004 8.617012035
18 271276557.309702 91741223.50370653 271276852.489702 91741518.68370654 0.28036408300000026 0.4411641109999991 9.99148279
19 25472044.549062826 25472044.549062826 25472339.729062825 25472339.729062825 0.3981392879999994 0.5884452850000006 10.733820506
20 367178450.2265923 25472044.549062826 367178745.4065923 25472339.729062825 0.30115281299999985 0.5400296059999992 11.722850159
21 74864806.73932156 25472044.549062826 74865101.91932157 25472339.729062825 0.3954871509999993 0.5796804479999995 12.566531043
22 319631014.6225766 25472044.549062826 319631309.8025766 25472339.729062825 0.31552653699999844 0.5000189210000006 13.544114325
23 238043641.56480163 25472044.549062826 238043936.74480164 25472339.729062825 0.6378489579999993 0.7086654359999986 14.364555148
24 33886770.741629824 25472044.549062826 33887065.921629824 25472339.729062825 0.398543729 1.183114814999998 15.71496336
25 145554823.26325548 25472044.549062826 145555118.44325548 25472339.729062825 0.35766270799999944 1.0422955089999988 17.299356164
26 1760817003.1102438 25472044.549062826 1760817298.2902439 25472339.729062825 0.2945612920000009 1.3957057140000018 18.701724595
27 117528907.38353911 25472044.549062826 117529202.56353912 25472339.729062825 0.4136876179999973 0.6609664689999981 20.394644408
