"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" acq_opt_time model_fit_time cum_iteration_time
1 118.17441727764867 118.17441727764867 1118.1744172776487 1118.1744172776487 None None None
2 109.80284772690584 109.80284772690584 1109.8028477269058 1109.8028477269058 None None None
3 6913.232071891667 109.80284772690584 7913.232071891667 1109.8028477269058 0.030240717999999944 0.02317650600000043 0
4 48.97213962487422 48.97213962487422 1048.9721396248742 1048.9721396248742 0.027184398000000165 0.06872338700000036 4.893828911
5 2787.4489675527193 48.97213962487422 3787.4489675527193 1048.9721396248742 0.03525461200000013 0.08145567299999978 4.991002198
6 82.12533913746165 48.97213962487422 1082.1253391374617 1048.9721396248742 0.03187848900000034 0.07759254900000023 5.109210537
7 129.92991089767816 48.97213962487422 1129.9299108976782 1048.9721396248742 0.03242590600000028 0.07813978600000038 5.220098671
8 135.89538515238837 48.97213962487422 1135.8953851523884 1048.9721396248742 0.03946407499999971 0.17269399600000046 5.332212449
9 1410.5120119161593 48.97213962487422 2410.5120119161593 1048.9721396248742 0.036941043999999756 0.11539545699999998 5.546139263
10 49.52019356187657 48.97213962487422 1049.5201935618766 1048.9721396248742 0.03373270500000025 0.08472216200000027 5.700114678
11 662.2749952301251 48.97213962487422 1662.2749952301251 1048.9721396248742 0.034868676999999515 0.08656137399999952 5.82045882
12 427.13971642685624 48.97213962487422 1427.1397164268562 1048.9721396248742 0.03262096899999989 0.12135370599999984 5.943509642
13 40.137639241601846 40.137639241601846 1040.1376392416018 1040.1376392416018 0.03268860000000018 0.08397757899999991 6.09925259
14 1035.9767697992702 40.137639241601846 2035.9767697992702 1040.1376392416018 0.039338912000000725 0.08334844600000046 6.217461727
15 167.77714803780304 40.137639241601846 1167.777148037803 1040.1376392416018 0.03756472899999963 0.09007652499999974 6.342023867
16 24.407589375933412 24.407589375933412 1024.4075893759334 1024.4075893759334 0.035376814000000145 0.0999877739999997 6.476598241
17 222.2503947189416 24.407589375933412 1222.2503947189416 1024.4075893759334 0.04100362800000035 0.09759348599999917 6.61522701
18 104.78916350233476 24.407589375933412 1104.7891635023348 1024.4075893759334 0.0377449099999998 0.10460905099999973 6.755949755
19 2565.5696238568585 24.407589375933412 3565.5696238568585 1024.4075893759334 0.037147354999999216 0.11584598699999926 6.900392756
20 347.364824549117 24.407589375933412 1347.364824549117 1024.4075893759334 0.041845847999999464 0.10241400899999942 7.055428498
21 45.18792108729599 24.407589375933412 1045.187921087296 1024.4075893759334 0.03933055799999963 0.10439765299999948 7.20169029
22 99.74751001573804 24.407589375933412 1099.747510015738 1024.4075893759334 0.03903563400000021 0.10120937900000015 7.347814312
23 5675.051396267955 24.407589375933412 6675.051396267955 1024.4075893759334 0.03878035600000018 0.10097588699999971 7.489882482
24 363.56644413349613 24.407589375933412 1363.5664441334961 1024.4075893759334 0.04221481100000002 0.10282499100000031 7.631452563
25 33.8209402506734 24.407589375933412 1033.8209402506734 1024.4075893759334 0.04092991199999929 0.10970733699999968 7.779088228
26 67.10027676178242 24.407589375933412 1067.1002767617824 1024.4075893759334 0.04096418600000007 0.10526764700000069 7.932008531
27 2122.760807471098 24.407589375933412 3122.760807471098 1024.4075893759334 0.04033086699999977 0.10553869800000015 8.080397174
28 151.12247356984767 24.407589375933412 1151.1224735698477 1024.4075893759334 0.05563845100000009 0.13356494399999974 8.228180457
29 28.608413413473727 24.407589375933412 1028.6084134134737 1024.4075893759334 0.03981641900000099 0.10667331000000146 8.419590557
30 101.4461609366681 24.407589375933412 1101.446160936668 1024.4075893759334 0.04146517699999919 0.10754550699999932 8.568604072
31 257.06255726847235 24.407589375933412 1257.0625572684723 1024.4075893759334 0.04161396599999989 0.10683211400000125 8.719651788
32 87.25170474106244 24.407589375933412 1087.2517047410624 1024.4075893759334 0.0412010709999997 0.10675491900000011 8.870064384
33 399.0656028794838 24.407589375933412 1399.0656028794838 1024.4075893759334 0.04156010099999996 0.10821815999999984 9.020307215
34 46.3345985106439 24.407589375933412 1046.334598510644 1024.4075893759334 0.040569200000000194 0.10739058200000073 9.17196392
35 98.76497532956228 24.407589375933412 1098.7649753295623 1024.4075893759334 0.041535882999999885 0.11058341699999907 9.321770394
36 106.8799114543765 24.407589375933412 1106.8799114543765 1024.4075893759334 0.04038061699999851 0.10882293099999885 9.475738147
37 112.98056129692168 24.407589375933412 1112.9805612969217 1024.4075893759334 0.04225020300000004 0.1091404580000006 9.626827334
38 765.1481550803155 24.407589375933412 1765.1481550803155 1024.4075893759334 0.04288501299999936 0.1089303380000004 9.780138325
39 947.0234926651299 24.407589375933412 1947.0234926651299 1024.4075893759334 0.04145342700000043 0.10984565400000079 9.934033382
40 189.4805997586477 24.407589375933412 1189.4805997586477 1024.4075893759334 0.04075108599999844 0.12862632800000107 10.087406541
41 10.419983575872493 10.419983575872493 1010.4199835758725 1010.4199835758725 0.0417577179999995 0.11244556299999964 10.258946437
42 481.8561881266244 10.419983575872493 1481.8561881266244 1010.4199835758725 0.041989268000000024 0.11108206399999965 10.415123017
43 850.8558594246874 10.419983575872493 1850.8558594246874 1010.4199835758725 0.04064706900000026 0.11219044199999928 10.570052901
44 157.60176319220113 10.419983575872493 1157.6017631922011 1010.4199835758725 0.05960578000000005 0.1444356339999988 10.724834937
45 1107.0570217594122 10.419983575872493 2107.0570217594122 1010.4199835758725 0.05892935099999974 0.1575940770000006 10.931444148
46 24.572036142690422 10.419983575872493 1024.5720361426904 1010.4199835758725 0.05825045899999992 0.15645770300000095 11.150683689
47 202.3473301005356 10.419983575872493 1202.3473301005356 1010.4199835758725 0.040247067000001024 0.15494316300000044 11.368299903
48 520.3467210479171 10.419983575872493 1520.346721047917 1010.4199835758725 0.03966509799999862 0.10863634399999889 11.565765756
49 68.01772935833105 10.419983575872493 1068.017729358331 1010.4199835758725 0.04030573100000012 0.10929242400000128 11.716721978
50 3022.6814037399154 10.419983575872493 4022.6814037399154 1010.4199835758725 0.04228891499999854 0.10779329599999876 11.868175995
51 1977.8311085347618 10.419983575872493 2977.831108534762 1010.4199835758725 0.042191459999999736 0.12614969800000075 12.020245987
52 62.470474438383235 10.419983575872493 1062.4704744383832 1010.4199835758725 0.03978045599999902 0.11128088399999925 12.191014982
53 4783.804579941978 10.419983575872493 5783.804579941978 1010.4199835758725 0.04058399900000076 0.10877258000000012 12.344442358
54 344.6114072764776 10.419983575872493 1344.6114072764776 1010.4199835758725 0.04092233300000103 0.11136844900000042 12.495724938
55 40.09140368886597 10.419983575872493 1040.091403688866 1010.4199835758725 0.04132829799999982 0.4217432520000006 12.650098208
