"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" acq_opt_time model_fit_time cum_iteration_time
1 49739.778853706295 49739.778853706295 49604.6488537063 49604.6488537063 None None None
2 294952.5669294118 49739.778853706295 294817.4369294118 49604.6488537063 None None None
3 809386.8963603409 49739.778853706295 809251.7663603409 49604.6488537063 None None None
4 427304.0932613437 49739.778853706295 427168.9632613437 49604.6488537063 None None None
5 203088.93589372805 49739.778853706295 202953.80589372804 49604.6488537063 None None None
6 242217.78604565124 49739.778853706295 242082.65604565124 49604.6488537063 None None None
7 380888.52332119684 49739.778853706295 380753.39332119684 49604.6488537063 None None None
8 159675.68687064786 49739.778853706295 159540.55687064785 49604.6488537063 None None None
9 253342.33229429324 49739.778853706295 253207.20229429324 49604.6488537063 None None None
10 189730.455992187 49739.778853706295 189595.325992187 49604.6488537063 None None None
11 751231.0302381335 49739.778853706295 751095.9002381335 49604.6488537063 0.3207458250000004 0.3253510369999999 0
12 161721.18065332255 49739.778853706295 161586.05065332254 49604.6488537063 0.308245801 0.4668211040000001 5.462624818
13 930086.142372304 49739.778853706295 929951.012372304 49604.6488537063 0.3483286559999996 0.6081027949999998 6.239992877
14 577395.6456633545 49739.778853706295 577260.5156633545 49604.6488537063 0.2496416340000005 0.48536251700000044 7.198622044
15 579075.1810786908 49739.778853706295 578940.0510786908 49604.6488537063 0.3512910809999994 0.4997107120000006 7.93582654
16 709026.9261945575 49739.778853706295 708891.7961945574 49604.6488537063 0.37717533400000036 0.5110091630000007 8.789206487
17 761775.6928065195 49739.778853706295 761640.5628065194 49604.6488537063 0.3768560129999994 0.5074010840000014 9.679836623
18 466616.58180639474 49739.778853706295 466481.45180639473 49604.6488537063 0.5649243770000005 0.5107834409999992 10.566668774
19 409743.50043580367 49739.778853706295 409608.37043580366 49604.6488537063 0.2826200290000003 0.5697656080000009 11.646302104
20 221714.05124737238 49739.778853706295 221578.92124737237 49604.6488537063 0.37644954900000016 0.5905102459999991 12.501159887
21 452680.8111671344 49739.778853706295 452545.6811671344 49604.6488537063 0.2787995890000001 0.4938282609999991 13.470828392
22 483997.2720663061 49739.778853706295 483862.1420663061 49604.6488537063 0.4803538410000012 0.5509319980000011 14.245805146
23 434173.94160874194 49739.778853706295 434038.81160874193 49604.6488537063 0.3466491949999977 0.5091497959999991 15.279555337
24 200260.09145159504 49739.778853706295 200124.96145159504 49604.6488537063 0.30232944700000175 0.6219558640000002 16.138737687
25 114292.19328058063 49739.778853706295 114157.06328058062 49604.6488537063 0.3949246159999973 0.5824606059999979 17.065376842
26 427688.48227551684 49739.778853706295 427553.35227551684 49604.6488537063 0.4041549050000022 0.78576786 18.045675299
27 765561.8337383543 49739.778853706295 765426.7037383543 49604.6488537063 0.3002008759999981 0.5562349349999991 19.238116677
28 188305.8999421935 49739.778853706295 188170.7699421935 49604.6488537063 0.30860565400000084 0.541398387000001 20.09689904
29 89826.87670063277 49739.778853706295 89691.74670063276 49604.6488537063 0.2861480699999994 0.6276115470000008 20.950228146
30 14188.959253694831 14188.959253694831 14053.829253694832 14053.829253694832 0.4127120150000003 0.5734847700000003 21.866652503
31 275316.25675820303 14188.959253694831 275181.126758203 14053.829253694832 0.3129136619999997 0.5518887580000005 22.855757129
32 760080.1926702582 14188.959253694831 759945.0626702582 14053.829253694832 0.3545312100000011 0.5378233640000012 23.72317153
33 89951.02258301087 14188.959253694831 89815.89258301086 14053.829253694832 0.7201837819999994 1.7173132329999987 24.653572676
34 193630.87544163648 14188.959253694831 193495.74544163648 14053.829253694832 0.7332788969999982 1.5044645360000004 27.093402663
35 203521.61146921478 14188.959253694831 203386.48146921478 14053.829253694832 0.38717292299999784 1.2374135909999993 29.333368712
36 104402.49692223364 14188.959253694831 104267.36692223363 14053.829253694832 0.30012696300000385 1.665274066000002 30.960619046
37 41417.6182739289 14188.959253694831 41282.4882739289 14053.829253694832 0.4007909689999991 0.5468612810000053 32.928777626
38 113742.11939502238 14188.959253694831 113606.98939502238 14053.829253694832 0.28307748499999974 0.5134124340000028 33.879283805
39 232430.3871417499 14188.959253694831 232295.2571417499 14053.829253694832 0.2692854019999942 0.49968777800000197 34.678077381
40 91147.860607665 14188.959253694831 91012.730607665 14053.829253694832 0.2786706420000016 0.49518537699999854 35.449352338
41 131669.3989232243 14188.959253694831 131534.2689232243 14053.829253694832 0.45090107899999765 0.7269634220000043 36.226405281
42 114772.91189940438 14188.959253694831 114637.78189940438 14053.829253694832 0.2731256889999969 0.4998556610000051 37.407602402
43 221014.13950709923 14188.959253694831 220879.00950709922 14053.829253694832 0.3874776830000002 0.5733113140000015 38.183213657
44 244681.0063127851 14188.959253694831 244545.87631278508 14053.829253694832 0.28977468699999775 0.5335380149999978 39.146420802
45 518861.5760178711 14188.959253694831 518726.4460178711 14053.829253694832 0.28295364299999903 0.5205911329999964 39.972518878
46 170282.3583716602 14188.959253694831 170147.2283716602 14053.829253694832 0.28167532299999465 0.520402679 40.778447279
47 116564.63956908844 14188.959253694831 116429.50956908843 14053.829253694832 0.6375015799999986 0.5810889159999988 41.583072406
48 131603.67872041158 14188.959253694831 131468.54872041158 14053.829253694832 0.28802587299999516 0.6246343509999974 42.804498462
49 456980.45100475 14188.959253694831 456845.32100475 14053.829253694832 0.2862071700000044 0.5243928140000023 43.719919415
50 68909.57693708448 14188.959253694831 68774.44693708447 14053.829253694832 0.41609740500000214 0.5812572130000007 44.533456283
51 278405.84670427674 14188.959253694831 278270.71670427674 14053.829253694832 0.28038166999999703 0.540553942999999 45.533300217
52 51901.94832045924 14188.959253694831 51766.81832045924 14053.829253694832 0.8614915960000005 0.5787212039999972 46.356659417
53 120331.0514531464 14188.959253694831 120195.9214531464 14053.829253694832 0.4702573680000057 1.9606304650000013 47.799398299
54 192076.2352669158 14188.959253694831 191941.1052669158 14053.829253694832 0.38993645400000077 0.5522246700000011 50.232679215
55 70491.58963138028 14188.959253694831 70356.45963138028 14053.829253694832 0.35901950200000243 0.5977639229999951 51.177304029
56 80206.11137618817 14188.959253694831 80070.98137618817 14053.829253694832 0.2665103359999961 0.5452047019999995 52.136560463
57 190217.98492606412 14188.959253694831 190082.85492606412 14053.829253694832 0.2743619869999989 0.4968352650000014 52.950570538
58 43186.39433919398 14188.959253694831 43051.264339193986 14053.829253694832 0.3787459119999994 0.570968569999998 53.724103169
59 325802.97790415573 14188.959253694831 325667.84790415573 14053.829253694832 0.29094641599999704 0.5139145480000025 54.676201962
60 152850.46006011008 14188.959253694831 152715.33006011008 14053.829253694832 0.28715154600000403 0.5456623659999948 55.483594397
61 275539.04435117217 14188.959253694831 275403.91435117216 14053.829253694832 0.2859592870000043 0.5412067440000001 56.319033627
62 346172.6828024184 14188.959253694831 346037.5528024184 14053.829253694832 0.3948690550000009 0.7947842419999986 57.148807006
63 126364.12847351137 14188.959253694831 126228.99847351137 14053.829253694832 0.607271426000004 0.6937587050000005 58.340929578
64 35301.66919873957 14188.959253694831 35166.53919873957 14053.829253694832 0.26534416599999133 6.006120943999996 59.64443385
65 23190.627544150422 14188.959253694831 23055.49754415042 14053.829253694832 0.37328986299999656 0.6450929150000064 65.918456461
66 126260.62774860438 14188.959253694831 126125.49774860438 14053.829253694832 0.28303604399999926 0.5190479550000049 66.9400039
67 532297.3585145328 14188.959253694831 532162.2285145328 14053.829253694832 0.4163966379999948 0.6316176309999975 67.744704722
68 119060.41602118203 14188.959253694831 118925.28602118202 14053.829253694832 0.3797184809999976 0.6383016700000042 68.795350713
69 52291.8715170282 14188.959253694831 52156.741517028204 14053.829253694832 0.2859327859999894 0.5151933709999952 69.816301378
